ClaimNb,Predicted
0.0,0.05718007
0.0,0.07781702
0.0,0.12469924
0.0,0.066331245
0.0,0.053232513
0.0,0.046336643
0.0,0.05917841
0.0,0.03731373
0.0,0.021957377
0.0,0.08860052
0.0,0.041504085
0.0,0.12868597
0.0,0.04127995
0.0,0.033532206
0.0,0.1204958
0.0,0.095250055
0.0,0.07604349
0.0,0.123466
0.0,0.10737574
0.0,0.04583685
0.0,0.055839702
0.0,0.043837655
0.0,0.040836975
0.0,0.0650727
0.0,0.030364892
0.0,0.038770065
0.0,0.097678095
0.0,0.024957752
0.0,0.042008962
0.0,0.07152714
0.0,0.10238446
0.0,0.03864428
0.0,0.03784315
0.0,0.07912432
0.0,0.06911548
0.0,0.02786362
0.0,0.10832173
0.0,0.10673395
0.0,0.08009042
0.0,0.070962675
0.0,0.050016116
0.0,0.04097533
0.0,0.061143436
0.0,0.055763923
0.0,0.06879965
1.0,0.035714496
0.0,0.03951623
0.0,0.031129682
0.0,0.034174874
0.0,0.07105867
0.0,0.1390411
0.0,0.040296618
0.0,0.081457995
0.0,0.031216698
0.0,0.10680871
0.0,0.061755918
0.0,0.08615546
0.0,0.08170445
0.0,0.078059465
0.0,0.04249041
0.0,0.09574209
0.0,0.044232257
0.0,0.027724436
0.0,0.07026233
0.0,0.057392042
0.0,0.05670153
0.0,0.04190297
0.0,0.092546225
0.0,0.054901242
0.0,0.040573355
0.0,0.0360433
0.0,0.099063605
0.0,0.037994884
1.0,0.07944362
0.0,0.01914898
0.0,0.056644537
0.0,0.03808785
0.0,0.04765431
0.0,0.044826187
0.0,0.044796143
0.0,0.0655489
0.0,0.12658493
0.0,0.07414156
0.0,0.05697768
0.0,0.06437137
0.0,0.041080307
0.0,0.053084403
1.0,0.0492132
0.0,0.042339027
0.0,0.05894039
0.0,0.061698258
0.0,0.03944473
0.0,0.09782161
0.0,0.050291236
0.0,0.040392537
0.0,0.09336411
0.0,0.048164755
0.0,0.052174382
0.0,0.059603117
0.0,0.07403667
0.0,0.057048365
0.0,0.08794236
0.0,0.1067012
0.0,0.12878695
0.0,0.09081191
0.0,0.03688362
0.0,0.09020657
0.0,0.058762975
0.0,0.09782497
0.0,0.021154096
0.0,0.013831126
1.0,0.044763345
0.0,0.04087037
0.0,0.040138137
0.0,0.05942221
0.0,0.0558527
0.0,0.02901741
0.0,0.060303457
0.0,0.11322545
0.0,0.038662788
0.0,0.039333913
0.0,0.08672817
0.0,0.05231127
0.0,0.09219946
0.0,0.04626421
0.0,0.06260446
0.0,0.03144418
0.0,0.035117432
0.0,0.06337508
0.0,0.041183867
0.0,0.07206082
0.0,0.068697274
0.0,0.089297906
0.0,0.024924142
0.0,0.11538234
0.0,0.047920503
0.0,0.09518381
0.0,0.06890714
0.0,0.120202035
0.0,0.06901921
0.0,0.05789706
0.0,0.09041388
0.0,0.09233132
0.0,0.047399875
0.0,0.03940065
0.0,0.078295246
0.0,0.019045414
0.0,0.047302514
0.0,0.15529893
0.0,0.06774962
0.0,0.039868988
0.0,0.03914322
0.0,0.034296725
0.0,0.034288924
2.0,0.08182512
0.0,0.05746834
0.0,0.08500737
0.0,0.03692865
0.0,0.06792581
0.0,0.035485905
0.0,0.10056751
0.0,0.12319592
0.0,0.09286691
0.0,0.114695564
0.0,0.059822477
0.0,0.027410531
0.0,0.055010125
0.0,0.036570594
0.0,0.023749601
0.0,0.039560836
0.0,0.08426825
0.0,0.11074553
0.0,0.042909417
0.0,0.07386209
0.0,0.059531014
0.0,0.043018818
0.0,0.022343306
0.0,0.16559583
0.0,0.048692923
0.0,0.080890924
0.0,0.10260324
0.0,0.032170784
0.0,0.04250782
0.0,0.096169695
0.0,0.030982543
0.0,0.033471137
0.0,0.08032916
0.0,0.0359973
0.0,0.046047665
0.0,0.0840116
0.0,0.04795383
1.0,0.05527638
0.0,0.11917572
0.0,0.050727118
0.0,0.057986688
0.0,0.08982274
0.0,0.046386275
0.0,0.03057819
0.0,0.043172628
0.0,0.15915371
0.0,0.08092812
0.0,0.043397833
0.0,0.0879183
0.0,0.09898962
0.0,0.06109098
0.0,0.08292582
0.0,0.043000933
1.0,0.025712842
0.0,0.030952035
1.0,0.03202306
0.0,0.062025316
0.0,0.057683717
0.0,0.073294036
0.0,0.07811133
0.0,0.046637602
0.0,0.048959877
0.0,0.029792992
0.0,0.029126592
0.0,0.055041753
0.0,0.047604457
0.0,0.041631553
0.0,0.02589792
0.0,0.023077767
0.0,0.05876659
0.0,0.054906346
0.0,0.049202856
0.0,0.09506126
0.0,0.024738
0.0,0.03631787
0.0,0.03656036
