index,ClaimNb,Predicted
370322,0,0.07141268318120901
484779,0,0.062210603294528294
507416,0,0.044504099844063685
516917,0,0.14676156522180464
233299,0,0.10624111004136369
407535,0,0.01002198022388736
306750,0,0.07633368961543671
89550,0,0.09568830467090077
246847,0,0.029744674800261134
8851,0,0.3986067086726585
353628,0,0.11175684642023669
257708,0,0.003892801312792092
154876,0,0.00471965217807399
68330,0,0.051344734412113034
483581,0,0.0275611863629108
532261,0,0.01506614709686554
475837,0,0.1849837572499771
398389,0,0.1478400010479968
437299,0,0.007749627116283879
278650,0,0.14648370016242337
273462,0,0.0985526800854439
35290,0,0.03605627764780659
354954,0,0.09061559575721027
112679,0,0.013337764650331452
370827,0,0.06626378298970655
195902,0,0.028389631145724882
405702,0,0.04452035111551199
33201,0,0.028420538982862342
82070,0,0.02462482459611549
30895,0,0.023843354147055136
504382,0,0.001308427262325562
204743,0,0.11213834561304693
350369,0,0.11326815739655953
72724,0,0.10754182661797311
105174,0,0.05407557333517716
271800,0,0.04477112523763836
311218,0,0.04228531176437599
419570,0,0.008044395667280631
288907,0,0.03133300084279356
415868,0,0.05308129667454088
501705,0,0.1404307131759679
117149,0,0.0184338995828791
505202,0,0.0009947517827578105
74173,0,0.04960331853577692
49387,0,0.05445802502076643
472755,1,0.1015422305532449
407444,0,0.20755935307259576
506362,0,0.027939628646618843
384673,0,0.018263950572584356
400534,0,0.04709676403313542
179868,0,0.06735690652721806
450788,0,0.12724503885437818
449598,0,0.04120489510980573
279341,0,0.13073332993148368
136540,0,0.00988803318254791
268968,0,0.038391245068438495
384641,0,0.009954797737101539
502343,0,0.02210097385894695
328877,0,0.07493258831680648
457653,0,0.029199383362662604
395699,0,0.043043664394528176
175275,0,0.043896546751351885
101222,0,0.011672573244240422
485326,0,0.059734024924665174
266588,0,0.16715091336263427
517945,0,0.02798886959414976
71141,0,0.04041176983590741
102767,0,0.03614445387279796
218391,0,0.006450963621906548
497144,0,0.01003220458623869
162364,0,0.07086707639131976
422567,0,0.016996230110668
36780,0,0.046924128826106866
179423,1,0.5415770666294077
392813,0,0.008151823491329025
119782,0,0.015413779043238334
342054,0,0.0930364964607116
327363,0,0.1236528622231632
