ClaimNb,Predicted
0.0,0.10294999
0.0,0.019269107
0.0,0.034216505
0.0,0.06566385
0.0,0.072331205
0.0,0.024461245
0.0,0.06490935
0.0,0.059806276
0.0,0.020710168
0.0,0.05369683
0.0,0.065451264
0.0,0.024653016
0.0,0.07550743
0.0,0.07481843
0.0,0.024811279
0.0,0.014493845
0.0,0.057304755
0.0,0.18162575
0.0,0.018098207
0.0,0.09319131
0.0,0.056274682
0.0,0.06797638
0.0,0.07272496
0.0,0.026815496
0.0,0.09066181
0.0,0.05053981
0.0,0.018279195
0.0,0.042846013
0.0,0.05602242
0.0,0.026482545
0.0,0.01175589
0.0,0.05888109
0.0,0.11837189
0.0,0.04658544
0.0,0.013036719
0.0,0.03455176
0.0,0.13229011
0.0,0.016152924
0.0,0.037086837
0.0,0.038972378
0.0,0.0844049
0.0,0.04983695
0.0,0.02363092
0.0,0.08514266
0.0,0.029738149
1.0,0.05036234
0.0,0.04366042
0.0,0.041364025
0.0,0.02512244
0.0,0.021787738
0.0,0.078828916
0.0,0.08492249
0.0,0.03402728
0.0,0.084069304
0.0,0.022178607
0.0,0.06045
0.0,0.027268967
0.0,0.05829388
0.0,0.0436151
0.0,0.038600266
0.0,0.0249281
0.0,0.04189472
0.0,0.055908255
0.0,0.11714208
0.0,0.054526832
0.0,0.05526647
0.0,0.035546806
0.0,0.037755623
0.0,0.06428523
0.0,0.02159661
0.0,0.13367786
0.0,0.006406738
0.0,0.05866571
1.0,0.17940074
0.0,0.008912057
0.0,0.03788162
0.0,0.04165101
0.0,0.0681837
0.0,0.05669788
0.0,0.07964438
0.0,0.039968614
0.0,0.14012794
0.0,0.07850602
0.0,0.07112106
0.0,0.049341567
0.0,0.055326615
0.0,0.0696561
1.0,0.042985395
0.0,0.03371413
0.0,0.08100386
0.0,0.0684055
0.0,0.021257102
0.0,0.14300667
0.0,0.018561013
0.0,0.09359296
0.0,0.13989924
0.0,0.0067858635
0.0,0.054274328
0.0,0.06125567
0.0,0.0869251
0.0,0.046641916
0.0,0.03509788
0.0,0.021481948
0.0,0.037453946
0.0,0.08134295
0.0,0.063442774
0.0,0.018360462
0.0,0.04858401
0.0,0.056705732
0.0,0.05116175
0.0,0.05994442
1.0,0.08089945
0.0,0.08107775
0.0,0.07392913
0.0,0.03332812
0.0,0.038765058
0.0,0.05111152
0.0,0.03880234
0.0,0.02056038
0.0,0.043138243
0.0,0.07223678
0.0,0.091340736
0.0,0.06255871
0.0,0.044211216
0.0,0.031486403
0.0,0.019209934
0.0,0.07360087
0.0,0.06372319
0.0,0.0514734
0.0,0.013607315
0.0,0.027484138
0.0,0.044709735
0.0,0.033679795
0.0,0.05227317
0.0,0.0161445
0.0,0.044869598
0.0,0.018085664
0.0,0.019912643
0.0,0.025272531
0.0,0.047177747
0.0,0.053257495
0.0,0.010209488
0.0,0.029193696
0.0,0.048143536
0.0,0.051340397
0.0,0.056042086
0.0,0.029252667
0.0,0.05085354
0.0,0.057373412
0.0,0.032163378
0.0,0.043080706
0.0,0.042157516
0.0,0.037638422
0.0,0.06941094
2.0,0.021391414
0.0,0.046712138
0.0,0.05452605
0.0,0.061548825
0.0,0.069486246
0.0,0.056953862
0.0,0.042333335
0.0,0.0064767036
0.0,0.028850758
0.0,0.01112054
0.0,0.055016052
0.0,0.07361816
0.0,0.053253002
0.0,0.054095972
0.0,0.055677015
0.0,0.05455583
0.0,0.013973106
0.0,0.062752575
0.0,0.059320986
0.0,0.17305316
0.0,0.04956805
0.0,0.03544361
0.0,0.07211003
0.0,0.0137825655
0.0,0.05173475
0.0,0.06752669
0.0,0.06178169
0.0,0.06466198
0.0,0.06007512
0.0,0.105797365
0.0,0.06585997
0.0,0.03447313
0.0,0.025445327
0.0,0.04379944
0.0,0.05965268
0.0,0.01875321
0.0,0.059264947
1.0,0.052960392
0.0,0.016852846
0.0,0.061064444
0.0,0.07135949
0.0,0.021384897
0.0,0.06618427
0.0,0.07411896
0.0,0.017876092
0.0,0.013823056
0.0,0.034049027
0.0,0.063668035
0.0,0.03061433
0.0,0.035552584
0.0,0.076196246
0.0,0.046632886
0.0,0.04240809
1.0,0.07547586
0.0,0.025450448
1.0,0.0717855
0.0,0.009050234
0.0,0.011596187
0.0,0.04527595
0.0,0.05213196
0.0,0.054056212
0.0,0.04568664
0.0,0.074098125
0.0,0.0609532
0.0,0.033662356
0.0,0.01626494
0.0,0.07153118
0.0,0.04796284
0.0,0.019951
0.0,0.07667189
0.0,0.04205841
0.0,0.037690543
0.0,0.02091911
0.0,0.071120426
0.0,0.03896989
0.0,0.007944411
0.0,0.026387628
0.0,0.066355206
0.0,0.01497765
0.0,0.09329638
0.0,0.07288912
0.0,0.051173974
0.0,0.052310225
0.0,0.033818625
0.0,0.031737044
0.0,0.04369714
0.0,0.080840796
0.0,0.06755838
0.0,0.019421108
0.0,0.05653746
0.0,0.08282372
0.0,0.10133167
2.0,0.36213064
0.0,0.047685243
0.0,0.08054665
0.0,0.023500785
0.0,0.03638398
0.0,0.019990902
0.0,0.036602624
0.0,0.07793015
0.0,0.019925598
0.0,0.09887732
0.0,0.013928642
0.0,0.15039907
0.0,0.10082858
0.0,0.04193257
0.0,0.060352318
0.0,0.04822073
0.0,0.036347926
0.0,0.033337116
0.0,0.0734759
0.0,0.06916747
0.0,0.034525324
0.0,0.10048032
0.0,0.10408861
0.0,0.035302434
0.0,0.06576411
0.0,0.025675792
0.0,0.045976378
0.0,0.08112319
0.0,0.053263057
0.0,0.04155896
0.0,0.022868592
0.0,0.06275925
1.0,0.06195956
0.0,0.03754031
0.0,0.013689479
0.0,0.05123201
0.0,0.021222172
0.0,0.06727709
0.0,0.055875447
0.0,0.012475098
0.0,0.04939887
0.0,0.042430565
0.0,0.018108489
0.0,0.078821175
0.0,0.085584305
0.0,0.01833906
0.0,0.013430034
1.0,0.0620739
0.0,0.059028845
0.0,0.04519513
0.0,0.019882964
0.0,0.059287872
0.0,0.046371523
0.0,0.051112518
0.0,0.03891921
0.0,0.033270624
0.0,0.044396974
0.0,0.0824751
0.0,0.034876492
0.0,0.047091395
0.0,0.030807367
0.0,0.055297047
0.0,0.050359435
0.0,0.027629428
0.0,0.06795801
0.0,0.098867625
0.0,0.08473675
0.0,0.026088871
0.0,0.028109273
0.0,0.03973458
0.0,0.054706633
0.0,0.044620052
0.0,0.033071816
0.0,0.09006388
0.0,0.056046147
0.0,0.120009206
0.0,0.17232037
0.0,0.017597472
0.0,0.07269024
0.0,0.015173927
0.0,0.029989386
0.0,0.023419123
0.0,0.016113222
0.0,0.036184095
0.0,0.021883404
0.0,0.024667773
0.0,0.0070371535
0.0,0.05112432
0.0,0.046331495
0.0,0.020507291
